"filename", "language", "JavaScript", "JSON", "YAML", "Handlebars", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/chart.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 11, 1, 14
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/jquery.fullscreen.min.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 19, 3, 55
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/perfect-scrollbar.js", "JavaScript", 1122, 0, 0, 0, 0, 0, 0, 0, 40, 186, 1348
"/home/master/Vidventures WebApp./public/admin/assets/js/vendors/select2.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/animation.css", "CSS", 0, 0, 0, 0, 0, 2753, 0, 0, 11, 525, 3289
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/bootstrap-select.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/euclid-circulara.css", "CSS", 0, 0, 0, 0, 0, 80, 0, 0, 0, 11, 91
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/feather.css", "CSS", 0, 0, 0, 0, 0, 818, 0, 0, 0, 2, 820
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/fontawesome.min.css", "CSS", 0, 0, 0, 0, 0, 4023, 0, 0, 6, 1307, 5336
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/jquery-ui.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 5
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/magnify.css", "CSS", 0, 0, 0, 0, 0, 408, 0, 0, 7, 69, 484
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/magnigy-popup.min.css", "CSS", 0, 0, 0, 0, 0, 310, 0, 0, 6, 51, 367
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/odometer.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/sal.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/master/Vidventures WebApp./public/user/assets/css/plugins/swiper.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 11, 1, 13
"/home/master/Vidventures WebApp./public/user/assets/css/style.css", "CSS", 0, 0, 0, 0, 0, 25573, 0, 0, 805, 2223, 28601
"/home/master/Vidventures WebApp./public/user/assets/css/vendor/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 6
"/home/master/Vidventures WebApp./public/user/assets/css/vendor/slick-theme.css", "CSS", 0, 0, 0, 0, 0, 170, 0, 0, 4, 25, 199
"/home/master/Vidventures WebApp./public/user/assets/css/vendor/slick.css", "CSS", 0, 0, 0, 0, 0, 103, 0, 0, 1, 14, 118
"/home/master/Vidventures WebApp./public/user/assets/fonts/Feather.svg", "XML", 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 276
"/home/master/Vidventures WebApp./public/user/assets/fonts/fontawesome-free/webfonts/fa-brands-400.svg", "XML", 0, 0, 0, 0, 1184, 0, 0, 0, 0, 1, 1185
"/home/master/Vidventures WebApp./public/user/assets/fonts/fontawesome-free/webfonts/fa-regular-400.svg", "XML", 0, 0, 0, 0, 467, 0, 0, 0, 0, 1, 468
"/home/master/Vidventures WebApp./public/user/assets/fonts/fontawesome-free/webfonts/fa-solid-900.svg", "XML", 0, 0, 0, 0, 2618, 0, 0, 0, 0, 1, 2619
"/home/master/Vidventures WebApp./public/user/assets/fonts/fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 2671, 0, 0, 0, 0, 1, 2672
"/home/master/Vidventures WebApp./public/user/assets/images/banner/offer-badge-shape.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/banner/wave.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/images/banner/white-shape.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/bg/banner-bg-shape-1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/icons/arrow-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/images/icons/badge-bg-shape.svg", "XML", 0, 0, 0, 0, 116, 0, 0, 0, 0, 1, 117
"/home/master/Vidventures WebApp./public/user/assets/images/icons/dashboard.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/icons/elite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/images/icons/hand-emojji.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/images/icons/logout.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/master/Vidventures WebApp./public/user/assets/images/icons/offer-badge-bg-color.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/home/master/Vidventures WebApp./public/user/assets/images/icons/offer-badge-bg-image.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/home/master/Vidventures WebApp./public/user/assets/images/icons/offer-badge-bg.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/icons/quote.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"/home/master/Vidventures WebApp./public/user/assets/images/icons/settings.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/master/Vidventures WebApp./public/user/assets/images/icons/tree-shape.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/master/Vidventures WebApp./public/user/assets/images/logo/Whatsapp.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/master/Vidventures WebApp./public/user/assets/images/shape/bg-image-2.svg", "XML", 0, 0, 0, 0, 6175, 0, 0, 0, 1, 0, 6176
"/home/master/Vidventures WebApp./public/user/assets/images/shape/dots-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/master/Vidventures WebApp./public/user/assets/images/shape/dots.svg", "XML", 0, 0, 0, 0, 260, 0, 0, 0, 0, 1, 261
"/home/master/Vidventures WebApp./public/user/assets/images/shape/france.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/master/Vidventures WebApp./public/user/assets/images/shape/germany.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/master/Vidventures WebApp./public/user/assets/images/shape/italy.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/master/Vidventures WebApp./public/user/assets/images/shape/japan.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/master/Vidventures WebApp./public/user/assets/images/shape/quote.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 1, 0, 19
"/home/master/Vidventures WebApp./public/user/assets/images/shape/south-korea.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/home/master/Vidventures WebApp./public/user/assets/images/shape/united-kingdom.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"/home/master/Vidventures WebApp./public/user/assets/images/splash/bg/bg-1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/images/splash/bg/left-right-line-1.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/master/Vidventures WebApp./public/user/assets/images/splash/bg/left-right-line-small.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/master/Vidventures WebApp./public/user/assets/images/splash/bg/left-right-line.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/master/Vidventures WebApp./public/user/assets/images/splash/bg/right-left-line.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/master/Vidventures WebApp./public/user/assets/js/main.js", "JavaScript", 889, 0, 0, 0, 0, 0, 0, 0, 33, 92, 1014
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/backtotop.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/bootstrap-select.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
